lat,lon,alt,gs,track,vs
33.120195,-117.266385,800,58.3,84.1,64
33.120621,-117.265649,800,59.2,78.3,0
33.122452,-117.265045,800,54.6,66.2,0
33.124008,-117.265704,800,51.4,37.1,0
33.124969,-117.266364,800,49.1,356.5,0
33.125931,-117.266144,800,46.5,341.2,0
33.126572,-117.265979,800,45.4,352.4,0
33.127899,-117.265155,800,46.5,8.6,0
33.128403,-117.266968,700,44.7,10.3,0
33.128128,-117.267792,700,28.0,304.8,-256
33.127899,-117.268176,600,25.3,260.9,-320
33.128082,-117.268945,600,20.6,240.9,-256
33.127579,-117.269824,600,23.2,262.6,-192
33.127579,-117.270264,600,30.0,244.3,-128
33.127487,-117.270703,600,24.7,248.6,-256
33.12735,-117.270978,600,23.4,250.0,-320
